"attribute_0","symboling","wheel.base","length","width","height","curb.weight","num.of.cylinders","engine.size","compression.ratio","city.mpg","highway.mpg","make_alfa.romero","make_audi","make_bmw","make_chevrolet","make_dodge","make_honda","make_isuzu","make_jaguar","make_mazda","make_mercedes.benz","make_mercury","make_mitsubishi","make_nissan","make_peugot","make_plymouth","make_porsche","make_renault","make_saab","make_subaru","make_toyota","make_volkswagen","make_volvo","fuel.type_diesel","fuel.type_gas","aspiration_std","aspiration_turbo","body.style_convertible","body.style_hardtop","body.style_hatchback","body.style_sedan","body.style_wagon","drive.wheels_4wd","drive.wheels_fwd","drive.wheels_rwd","engine.location_front","engine.location_rear","engine.type_dohc","engine.type_l","engine.type_ohc","engine.type_ohcf","engine.type_ohcv","engine.type_rotor","fuel.system_1bbl","fuel.system_2bbl","fuel.system_4bbl","fuel.system_idi","fuel.system_mfi","fuel.system_mpfi","fuel.system_spdi","fuel.system_spfi","normalized.losses","num.of.doors","bore","stroke","peak.rpm","class","price"
23,1,93.7,157.3,63.8,50.6,1967,4,90,9.4,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,148,4,2.97,3.23,5500,68,6229
24,1,93.7,157.3,63.8,50.6,1989,4,90,9.4,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,148,4,2.97,3.23,5500,68,6692
25,1,93.7,157.3,63.8,50.6,1989,4,90,9.4,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,148,4,2.97,3.23,5500,68,7609
26,1,93.7,157.3,63.8,50.6,2191,4,98,7.6,24,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,148,3.1356783919598,3.03,3.39,5500,102,8558
27,-1,103.3,174.6,64.6,59.8,2535,4,122,8.5,24,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,110,4,3.34,3.46,5000,88,8921
28,3,95.9,173.2,66.3,50.2,2811,4,156,7,19,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,145,2,3.6,3.9,5000,145,12964
29,2,86.6,144.6,63.9,50.8,1713,4,92,9.6,49,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,137,2,2.91,3.41,4800,58,6479
30,2,86.6,144.6,63.9,50.8,1819,4,92,9.2,31,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,137,2,2.91,3.41,6000,76,6855
31,1,93.7,150,64,52.6,1837,4,79,10.1,38,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101,2,2.91,3.07,5500,60,5399
32,1,93.7,150,64,52.6,1940,4,92,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101,2,2.91,3.41,6000,76,6529
33,1,93.7,150,64,52.6,1956,4,92,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101,2,2.91,3.41,6000,76,7129
34,0,96.5,163.4,64,54.5,2010,4,92,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,110,4,2.91,3.41,6000,76,7295
35,0,96.5,157.1,63.9,58.3,2024,4,92,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,78,4,2.92,3.41,6000,76,7295
36,0,96.5,167.5,65.2,53.3,2236,4,110,9,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,106,2,3.15,3.58,5800,86,7895
37,0,96.5,167.5,65.2,53.3,2289,4,110,9,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,106,2,3.15,3.58,5800,86,9095
38,0,96.5,175.4,65.2,54.1,2304,4,110,9,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,85,4,3.15,3.58,5800,86,8845
39,0,96.5,175.4,62.5,54.1,2372,4,110,9,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,85,4,3.15,3.58,5800,86,10295
40,0,96.5,175.4,65.2,54.1,2465,4,110,9,24,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,85,4,3.15,3.58,5800,101,12945
41,1,96.5,169.1,66,51,2293,4,110,9.1,25,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,107,2,3.15,3.58,5500,100,10345
42,0,94.3,170.7,61.8,53.5,2337,4,111,8.5,24,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,122,4,3.31,3.23,4800,78,6785
43,2,96,172.6,65.2,51.4,2734,4,119,9.2,24,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,122,2,3.43,3.23,5000,90,11048
44,0,113,199.6,69.6,52.8,4066,6,258,8.1,15,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,145,4,3.63,4.17,4750,176,32250
45,0,113,199.6,69.6,52.8,4066,6,258,8.1,15,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,122,4,3.63,4.17,4750,176,35550
46,0,102,191.7,70.6,47.8,3950,12,326,11.5,13,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122,2,3.54,2.76,5000,262,36000
47,1,93.1,159.1,64.2,54.1,1890,4,91,9,30,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,104,2,3.03,3.15,5000,68,5195
48,1,93.1,159.1,64.2,54.1,1900,4,91,9,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,104,2,3.03,3.15,5000,68,6095
49,1,93.1,159.1,64.2,54.1,1905,4,91,9,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,104,2,3.03,3.15,5000,68,6795
50,1,93.1,166.8,64.2,54.1,1945,4,91,9,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,113,4,3.03,3.15,5000,68,6695
51,1,93.1,166.8,64.2,54.1,1950,4,91,9,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,113,4,3.08,3.15,5000,68,7395
52,3,95.3,169,65.7,49.6,2380,2,70,9.4,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150,2,3.33071065989848,3.25690355329949,6000,101,10945
53,3,95.3,169,65.7,49.6,2380,2,70,9.4,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150,2,3.33071065989848,3.25690355329949,6000,101,11845
54,3,95.3,169,65.7,49.6,2385,2,70,9.4,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150,2,3.33071065989848,3.25690355329949,6000,101,13645
55,3,95.3,169,65.7,49.6,2500,2,80,9.4,16,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,150,2,3.33071065989848,3.25690355329949,6000,135,15645
56,1,98.8,177.8,66.5,53.7,2385,4,122,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,129,2,3.39,3.39,4800,84,8845
57,0,98.8,177.8,66.5,55.5,2410,4,122,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,115,4,3.39,3.39,4800,84,8495
58,1,98.8,177.8,66.5,53.7,2385,4,122,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,129,2,3.39,3.39,4800,84,10595
59,0,98.8,177.8,66.5,55.5,2410,4,122,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,115,4,3.39,3.39,4800,84,10245
60,0,98.8,177.8,66.5,55.5,2443,4,122,22.7,36,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,122,3.1356783919598,3.39,3.39,4650,64,10795
61,0,98.8,177.8,66.5,55.5,2425,4,122,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,115,4,3.39,3.39,4800,84,11245
62,0,104.9,175,66.1,54.4,2670,4,140,8,19,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,118,4,3.76,3.16,5000,120,18280
63,0,104.9,175,66.1,54.4,2700,4,134,22,31,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,122,4,3.43,3.64,4200,72,18344
64,-1,110,190.9,70.3,56.5,3515,5,183,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93,4,3.58,3.64,4350,123,25552
65,-1,110,190.9,70.3,58.7,3750,5,183,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93,4,3.58,3.64,4350,123,28248
66,0,106.7,187.5,70.3,54.9,3495,5,183,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93,2,3.58,3.64,4350,123,28176
67,-1,115.6,202.6,71.7,56.3,3770,5,183,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93,4,3.58,3.64,4350,123,31600
68,-1,115.6,202.6,71.7,56.5,3740,8,234,8.3,16,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122,4,3.46,3.1,4750,155,34184
69,3,96.6,180.3,70.5,50.8,3685,8,234,8.3,16,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,142,2,3.46,3.1,4750,155,35056
70,0,120.9,208.1,71.7,56.7,3900,8,308,8,14,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122,4,3.8,3.35,4500,184,40960
71,1,112,199.2,72,55.4,3715,8,304,8,14,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122,2,3.8,3.35,4500,184,45400
72,1,102.7,178.4,68,54.8,2910,4,140,8,19,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,2,3.78,3.12,5000,175,16503
73,2,93.7,157.3,64.4,50.8,1918,4,92,9.4,37,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,161,2,2.97,3.23,5500,68,5389
74,2,93.7,157.3,64.4,50.8,1944,4,92,9.4,31,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,161,2,2.97,3.23,5500,68,6189
75,2,93.7,157.3,64.4,50.8,2004,4,92,9.4,31,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,161,2,2.97,3.23,5500,68,6669
76,1,93,157.3,63.8,50.8,2145,4,98,7.6,24,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,161,2,3.03,3.39,5500,102,7689
77,3,96.3,173,65.4,49.4,2370,4,110,7.5,23,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,153,2,3.17,3.46,5500,116,9959
78,3,96.3,173,65.4,49.4,2328,4,122,8.5,25,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,153,2,3.35,3.46,5000,88,8499
79,3,95.9,173.2,66.3,50.2,2833,4,156,7,19,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,122,2,3.58,3.86,5000,145,12629
80,3,95.9,173.2,66.3,50.2,2921,4,156,7,19,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,122,2,3.59,3.86,5000,145,14869
81,3,95.9,173.2,66.3,50.2,2926,4,156,7,19,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,122,2,3.59,3.86,5000,145,14489
82,1,96.3,172.4,65.4,51.6,2365,4,122,8.5,25,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,125,4,3.35,3.46,5000,88,6989
83,1,96.3,172.4,65.4,51.6,2405,4,122,8.5,25,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,125,4,3.35,3.46,5000,88,8189
